IL,"0,05"
KG,"0,15"
FJ,"0,19"
IT,"0,27"
SD,"0,27"
RU,"0,29"
MD,"0,32"
BD,"0,34"
LK,"0,38"
CL,"0,39"
FR,"0,41"
ID,"0,42"
BY,"0,43"
SM,"0,43"
VN,"0,49"
DZ,"0,51"
CN,"0,52"
WS,"0,56"
PK,"0,59"
KZ,"0,59"
UZ,"0,60"
SO,"0,60"
MN,"0,60"
NP,"0,61"
TR,"0,63"
PL,"0,64"
GH,"0,66"
IN,"0,68"
AU,"0,70"
LY,"0,74"
UA,"0,75"
TZ,"0,75"
MU,"0,75"
RE,"0,76"
AM,"0,76"
MM,"0,78"
DK,"0,79"
KW,"0,81"
YT,"0,82"
KH,"0,83"
BT,"0,83"
HT,"0,85"
NG,"0,88"
EH,"0,88"
MA,"0,88"
MY,"0,89"
GP,"0,89"
CM,"0,90"
BR,"0,92"
SN,"0,94"
NI,"0,94"
MK,"0,96"
FI,"0,97"
AF,"1,02"
EG,"1,04"
EC,"1,06"
TH,"1,06"
MC,"1,08"
TN,"1,09"
SG,"1,09"
DJ,"1,12"
ZM,"1,13"
IQ,"1,14"
PE,"1,15"
AT,"1,17"
RO,"1,18"
IS,"1,23"
ES,"1,24"
RW,"1,25"
TO,"1,28"
NE,"1,28"
RS,"1,30"
JE,"1,32"
SV,"1,33"
LT,"1,38"
EE,"1,39"
JO,"1,41"
GB,"1,42"
IE,"1,42"
SE,"1,45"
GG,"1,46"
SA,"1,47"
UY,"1,51"
DO,"1,51"
IR,"1,52"
UG,"1,56"
HN,"1,56"
GF,"1,58"
AO,"1,61"
PW,"1,67"
TL,"1,67"
HU,"1,70"
PS,"1,71"
ET,"1,71"
SI,"1,72"
DM,"1,76"
PH,"1,77"
GE,"1,80"
IM,"1,80"
AZ,"1,82"
TT,"1,90"
MO,"1,93"
GT,"1,94"
SR,"1,94"
GN,"1,99"
AS,"2,00"
VI,"2,00"
MT,"2,01"
BI,"2,10"
BH,"2,12"
OM,"2,12"
ME,"2,12"
GU,"2,14"
MP,"2,15"
BO,"2,18"
BN,"2,23"
SZ,"2,24"
KE,"2,25"
PG,"2,26"
BG,"2,26"
HK,"2,30"
HR,"2,35"
CR,"2,36"
BL,"2,36"
AR,"2,38"
BA,"2,39"
VC,"2,41"
GD,"2,44"
PY,"2,53"
CI,"2,58"
LR,"2,59"
TJ,"2,60"
LC,"2,62"
FO,"2,64"
LS,"2,66"
ZA,"2,67"
JM,"2,74"
AX,"2,75"
GI,"2,78"
MZ,"2,79"
AL,"2,80"
CO,"2,80"
CG,"2,88"
BZ,"2,97"
LU,"3,00"
LI,"3,10"
NL,"3,11"
LA,"3,19"
QA,"3,20"
KM,"3,21"
MV,"3,24"
SL,"3,26"
ML,"3,28"
US,"3,33"
DE,"3,38"
JP,"3,38"
MF,"3,46"
MQ,"3,46"
LV,"3,49"
CK,"3,50"
SK,"3,55"
BJ,"3,61"
MX,"3,62"
KN,"3,70"
PT,"3,85"
AI,"3,85"
BW,"3,92"
GL,"3,97"
PR,"4,00"
MS,"4,01"
SX,"4,17"
PF,"4,20"
GW,"4,41"
AG,"4,44"
AW,"4,44"
PA,"4,49"
BF,"4,52"
SJ,"4,65"
TG,"4,69"
KR,"4,72"
CV,"4,78"
LB,"4,81"
GA,"4,82"
MG,"5,14"
CH,"5,24"
GY,"5,25"
BE,"5,28"
MR,"5,56"
TW,"5,67"
CA,"5,72"
NO,"5,81"
GM,"5,86"
BS,"5,98"
VU,"6,06"
TV,"6,35"
CW,"6,47"
NC,"6,49"
BB,"6,79"
NZ,"6,99"
SY,"7,15"
NU,"7,37"
AD,"7,49"
CU,"7,50"
IO,"7,50"
AE,"7,62"
NR,"7,62"
SB,"7,83"
FM,"7,85"
TC,"8,00"
CZ,"8,15"
GR,"8,16"
SC,"8,64"
CY,"8,84"
CF,"9,03"
VG,"9,54"
KI,"9,94"
BQ,"10,94"
KY,"11,97"
CC,"13,47"
YE,"15,98"
BM,"19,80"
TK,"20,48"
TM,"21,41"
NA,"22,37"
TD,"23,33"
MW,"25,46"
ST,"30,97"
SH,"39,87"
FK,"44,56"
GQ,"49,67"
